i,j,path1,path2,embedding_distance
65,516,images/image_157.jpg,images/image_563.jpg,7.37905502319336e-05
507,516,images/image_555.jpg,images/image_563.jpg,7.37905502319336e-05
545,594,images/image_59.jpg,images/image_94.jpg,7.462501525878906e-05
384,457,images/image_444.jpg,images/image_51.jpg,7.551908493041992e-05
39,432,images/image_133.jpg,images/image_488.jpg,7.593631744384766e-05
6,23,images/image_103.jpg,images/image_119.jpg,7.62939453125e-05
222,368,images/image_299.jpg,images/image_43.jpg,7.659196853637695e-05
462,495,images/image_514.jpg,images/image_544.jpg,7.677078247070312e-05
24,384,images/image_12.jpg,images/image_444.jpg,7.700920104980469e-05
63,578,images/image_155.jpg,images/image_8.jpg,7.784366607666016e-05
448,485,images/image_501.jpg,images/image_535.jpg,7.969141006469727e-05
290,321,images/image_36.jpg,images/image_388.jpg,7.998943328857422e-05
371,440,images/image_432.jpg,images/image_495.jpg,8.130073547363281e-05
440,577,images/image_495.jpg,images/image_79.jpg,8.130073547363281e-05
36,72,images/image_130.jpg,images/image_163.jpg,8.159875869750977e-05
295,344,images/image_364.jpg,images/image_408.jpg,8.195638656616211e-05
342,497,images/image_406.jpg,images/image_546.jpg,8.207559585571289e-05
411,555,images/image_469.jpg,images/image_599.jpg,8.219480514526367e-05
179,501,images/image_26.jpg,images/image_55.jpg,8.237361907958984e-05
32,184,images/image_127.jpg,images/image_264.jpg,8.243322372436523e-05
541,545,images/image_586.jpg,images/image_59.jpg,8.26716423034668e-05
98,113,images/image_187.jpg,images/image_20.jpg,8.273124694824219e-05
147,292,images/image_230.jpg,images/image_361.jpg,8.338689804077148e-05
31,504,images/image_126.jpg,images/image_552.jpg,8.362531661987305e-05
22,315,images/image_118.jpg,images/image_382.jpg,8.416175842285156e-05
187,476,images/image_267.jpg,images/image_527.jpg,8.422136306762695e-05
266,377,images/image_338.jpg,images/image_438.jpg,8.487701416015625e-05
57,69,images/image_15.jpg,images/image_160.jpg,8.499622344970703e-05
132,236,images/image_217.jpg,images/image_310.jpg,8.511543273925781e-05
50,172,images/image_143.jpg,images/image_253.jpg,8.541345596313477e-05
105,462,images/image_193.jpg,images/image_514.jpg,8.654594421386719e-05
114,368,images/image_200.jpg,images/image_43.jpg,8.678436279296875e-05
269,433,images/image_340.jpg,images/image_489.jpg,8.952617645263672e-05
160,483,images/image_242.jpg,images/image_533.jpg,9.000301361083984e-05
405,551,images/image_463.jpg,images/image_595.jpg,9.000301361083984e-05
23,431,images/image_119.jpg,images/image_487.jpg,9.006261825561523e-05
283,431,images/image_353.jpg,images/image_487.jpg,9.042024612426758e-05
420,510,images/image_477.jpg,images/image_558.jpg,9.101629257202148e-05
164,415,images/image_246.jpg,images/image_472.jpg,9.208917617797852e-05
440,573,images/image_495.jpg,images/image_75.jpg,9.244680404663086e-05
130,206,images/image_215.jpg,images/image_284.jpg,9.268522262573242e-05
329,433,images/image_395.jpg,images/image_489.jpg,9.328126907348633e-05
36,498,images/image_130.jpg,images/image_547.jpg,9.369850158691406e-05
156,368,images/image_239.jpg,images/image_43.jpg,9.47713851928711e-05
212,366,images/image_29.jpg,images/image_428.jpg,9.489059448242188e-05
250,520,images/image_323.jpg,images/image_567.jpg,9.5367431640625e-05
409,567,images/image_467.jpg,images/image_7.jpg,9.572505950927734e-05
18,472,images/image_114.jpg,images/image_523.jpg,9.578466415405273e-05
82,367,images/image_172.jpg,images/image_429.jpg,9.59634780883789e-05
44,330,images/image_138.jpg,images/image_396.jpg,9.679794311523438e-05
113,545,images/image_20.jpg,images/image_59.jpg,9.709596633911133e-05
483,597,images/image_533.jpg,images/image_97.jpg,9.715557098388672e-05
506,570,images/image_554.jpg,images/image_72.jpg,9.745359420776367e-05
113,541,images/image_20.jpg,images/image_586.jpg,9.751319885253906e-05
7,374,images/image_104.jpg,images/image_435.jpg,9.799003601074219e-05
172,555,images/image_253.jpg,images/image_599.jpg,9.822845458984375e-05
98,545,images/image_187.jpg,images/image_59.jpg,9.942054748535156e-05
238,366,images/image_312.jpg,images/image_428.jpg,0.00010037422180175781
391,407,images/image_450.jpg,images/image_465.jpg,0.00010073184967041016
306,332,images/image_374.jpg,images/image_398.jpg,0.00010144710540771484
21,552,images/image_117.jpg,images/image_596.jpg,0.00010180473327636719
107,357,images/image_195.jpg,images/image_42.jpg,0.00010246038436889648
223,246,images/image_3.jpg,images/image_32.jpg,0.0001036524772644043
0,57,images/image_0.jpg,images/image_15.jpg,0.00010496377944946289
108,276,images/image_196.jpg,images/image_347.jpg,0.00010508298873901367
48,443,images/image_141.jpg,images/image_498.jpg,0.00010532140731811523
58,567,images/image_150.jpg,images/image_7.jpg,0.00010532140731811523
175,241,images/image_256.jpg,images/image_315.jpg,0.00010538101196289062
285,494,images/image_355.jpg,images/image_543.jpg,0.00010579824447631836
272,368,images/image_343.jpg,images/image_43.jpg,0.00010752677917480469
309,342,images/image_377.jpg,images/image_406.jpg,0.00010752677917480469
44,565,images/image_138.jpg,images/image_68.jpg,0.00010794401168823242
137,350,images/image_221.jpg,images/image_413.jpg,0.00010955333709716797
270,282,images/image_341.jpg,images/image_352.jpg,0.00010961294174194336
256,305,images/image_329.jpg,images/image_373.jpg,0.00011038780212402344
73,98,images/image_164.jpg,images/image_187.jpg,0.00011074542999267578
152,485,images/image_235.jpg,images/image_535.jpg,0.00011080503463745117
91,543,images/image_180.jpg,images/image_588.jpg,0.00011181831359863281
326,433,images/image_392.jpg,images/image_489.jpg,0.0001118779182434082
389,413,images/image_449.jpg,images/image_470.jpg,0.0001118779182434082
134,348,images/image_219.jpg,images/image_411.jpg,0.00011229515075683594
22,136,images/image_118.jpg,images/image_220.jpg,0.00011283159255981445
75,368,images/image_166.jpg,images/image_43.jpg,0.00011289119720458984
413,437,images/image_470.jpg,images/image_492.jpg,0.00011426210403442383
356,527,images/image_419.jpg,images/image_573.jpg,0.00011497735977172852
467,483,images/image_519.jpg,images/image_533.jpg,0.00011515617370605469
73,541,images/image_164.jpg,images/image_586.jpg,0.00011563301086425781
50,219,images/image_143.jpg,images/image_296.jpg,0.0001156926155090332
100,436,images/image_189.jpg,images/image_491.jpg,0.00011599063873291016
551,582,images/image_595.jpg,images/image_83.jpg,0.00011616945266723633
334,381,images/image_4.jpg,images/image_441.jpg,0.00011754035949707031
448,549,images/image_501.jpg,images/image_593.jpg,0.0001176595687866211
50,479,images/image_143.jpg,images/image_53.jpg,0.00011783838272094727
196,538,images/image_275.jpg,images/image_583.jpg,0.00011897087097167969
212,268,images/image_29.jpg,images/image_34.jpg,0.00011944770812988281
265,412,images/image_337.jpg,images/image_47.jpg,0.00012022256851196289
98,541,images/image_187.jpg,images/image_586.jpg,0.0001208186149597168
567,593,images/image_7.jpg,images/image_93.jpg,0.00012099742889404297
160,467,images/image_242.jpg,images/image_519.jpg,0.00012117624282836914
219,555,images/image_296.jpg,images/image_599.jpg,0.00012129545211791992
311,318,images/image_379.jpg,images/image_385.jpg,0.0001214742660522461
152,549,images/image_235.jpg,images/image_593.jpg,0.00012302398681640625
113,197,images/image_20.jpg,images/image_276.jpg,0.00012308359146118164
227,368,images/image_302.jpg,images/image_43.jpg,0.00012308359146118164
217,474,images/image_294.jpg,images/image_525.jpg,0.00012385845184326172
345,353,images/image_409.jpg,images/image_416.jpg,0.00012409687042236328
73,113,images/image_164.jpg,images/image_20.jpg,0.00012427568435668945
479,555,images/image_53.jpg,images/image_599.jpg,0.00012433528900146484
96,272,images/image_185.jpg,images/image_343.jpg,0.0001245737075805664
137,478,images/image_221.jpg,images/image_529.jpg,0.0001246929168701172
218,264,images/image_295.jpg,images/image_336.jpg,0.00012493133544921875
247,511,images/image_320.jpg,images/image_559.jpg,0.00012701749801635742
178,415,images/image_259.jpg,images/image_472.jpg,0.00012737512588500977
383,578,images/image_443.jpg,images/image_8.jpg,0.0001278519630432129
297,467,images/image_366.jpg,images/image_519.jpg,0.00012826919555664062
91,328,images/image_180.jpg,images/image_394.jpg,0.00012832880020141602
96,227,images/image_185.jpg,images/image_302.jpg,0.0001283884048461914
371,491,images/image_432.jpg,images/image_540.jpg,0.0001285076141357422
491,577,images/image_540.jpg,images/image_79.jpg,0.0001285076141357422
11,531,images/image_108.jpg,images/image_577.jpg,0.00012928247451782227
105,373,images/image_193.jpg,images/image_434.jpg,0.00012934207916259766
151,414,images/image_234.jpg,images/image_471.jpg,0.00012993812561035156
375,549,images/image_436.jpg,images/image_593.jpg,0.00013017654418945312
463,467,images/image_515.jpg,images/image_519.jpg,0.0001303553581237793
362,593,images/image_424.jpg,images/image_93.jpg,0.0001304149627685547
29,347,images/image_124.jpg,images/image_410.jpg,0.00013053417205810547
388,476,images/image_448.jpg,images/image_527.jpg,0.0001310110092163086
368,434,images/image_43.jpg,images/image_49.jpg,0.00013113021850585938
129,183,images/image_214.jpg,images/image_263.jpg,0.0001315474510192871
106,561,images/image_194.jpg,images/image_64.jpg,0.0001316070556640625
144,472,images/image_228.jpg,images/image_523.jpg,0.00013208389282226562
